아파트,지역구,면적,거래금액,건축년도
삼성,양천구,65.25,40000,2000.0
목동신시가지13,양천구,98.63,259000,1987.0
은마,강남구,84.43,369500,1979.0
은평신사두산위브,은평구,84.997,76500,2006.0
정릉성원상떼빌,성북구,114.96,69000,2000.0
오류동금호어울림,구로구,59.98,59300,2006.0
남서울힐스테이트,금천구,84.786,92000,2014.0
창동한승미메이드,도봉구,84.686,58000,2004.0
관악산휴먼시아1단지,관악구,84.97,72000,2008.0
국제산장,관악구,59.94,44000,1993.0
한신휴플러스(1280-0),구로구,58.03,87000,2007.0
길음동동부센트레빌(1278-0),성북구,84.844,124500,2003.0
해링턴플레이스안암,성북구,75.65,124000,2024.0
브라운스톤방학아파트,도봉구,84.98,73900,2003.0
삼익세라믹,도봉구,58.77,44500,1988.0
신동아,영등포구,84.85,75000,1987.0
신내6대주,중랑구,49.77,67800,1996.0
신림현대,관악구,34.86,46500,1993.0
인왕산현대,서대문구,114.72,113000,2000.0
DMC센트럴자이(2단지),은평구,74.78,162700,2023.0
우성,은평구,64.62,52000,1988.0
여의도더리브스타일,영등포구,14.837,18100,2020.0
주공1단지,강북구,49.94,70000,1991.0
서원,도봉구,49.77,35900,1996.0
관악산휴먼시아2단지,관악구,84.97,77000,2008.0
녹번JR아파트,은평구,84.923,85500,2002.0
한신휴플러스(1280-0),구로구,50.03,80000,2007.0
천연뜨란채,서대문구,56.02,118500,2006.0
경지Arium,강동구,14.12,20000,2019.0
현대2,은평구,84.83,65000,1994.0
관악산휴먼시아2단지,관악구,59.99,64000,2008.0
목동신시가지6,양천구,47.94,230000,1986.0
디마크당산,영등포구,40.43,83000,0.0
목동성원,양천구,84.94,153000,2000.0
마고정3단지센트레빌(310~322동)BL2-3,은평구,167.14,155000,2009.0
래미안목동아델리체(101동~118동),양천구,115.97,216500,2021.0
홍은동벽산,서대문구,114.96,88000,1997.0
동부아파트,중랑구,54.0,60000,1999.0
독산주공14단지,금천구,59.22,67800,1990.0
애필리움,은평구,84.96,71000,2006.0
성산시영(대우),마포구,50.03,150000,1986.0
신창,도봉구,59.4,39000,1998.0
신림푸르지오,관악구,138.64,123000,2005.0
신원,중랑구,84.12,57700,1999.0
신트리3,양천구,84.97,120000,2000.0
광진파크하우스,광진구,44.207,70000,2023.0
한영(101),중랑구,57.66,41500,2003.0
경원파발리안,은평구,69.26,55000,2009.0
초안산신도브래뉴,도봉구,84.999,58800,2005.0
태능에셈빌,중랑구,84.843,66000,2005.0
프라비다트라움,관악구,14.05,11100,2013.0
건영2차,중랑구,74.25,68900,1996.0
관악산휴먼시아2단지,관악구,59.96,62000,2008.0
엘리프 미아역 2단지,강북구,59.856,76831,0.0
중앙하이츠,중랑구,84.97,74500,1996.0
상계주공9(고층),노원구,49.94,63000,1988.0
서울가든,구로구,64.39,67000,1989.0
북한산코오롱하늘채,도봉구,84.98,72500,2014.0
삼익세라믹,도봉구,42.93,34000,1988.0
디마크당산,영등포구,37.33,82500,0.0
힐스테이트홍은포레스트,서대문구,59.84,101000,2023.0
동원베네스트,중랑구,84.86,79300,2003.0
도봉금강아미움파크타운,도봉구,62.438,43000,2018.0
라이프,관악구,59.13,49000,1996.0
마곡힐스테이트,강서구,84.98,155500,2017.0
라이프미성,은평구,84.65,105000,1988.0
더트루엘마곡HQ,강서구,48.329,59900,2024.0
더트루엘마곡HQ,강서구,48.329,64200,2024.0
마곡우림필유아파트,강서구,84.528,117000,2003.0
주성파크빌,송파구,84.9,95800,2002.0
우성아파트1,도봉구,84.69,54000,1992.0
우성1,광진구,59.91,149000,1988.0
이에스에이아파트3,도봉구,84.87,66300,2004.0
갈현현대,은평구,84.83,56500,1998.0
올림픽훼밀리타운,송파구,84.705,220000,1988.0
은평뉴타운엘크루,은평구,59.98,85000,2017.0
씨엠아파트,노원구,58.23,28500,2006.0
솔밭노블리안,도봉구,54.87,46000,2019.0
센트라스,성동구,84.77,236500,2016.0
에스케이북한산시티,강북구,84.76,81000,2004.0
에스아이팰리스장안센텀,동대문구,14.139,22000,2020.0
아크로타워스퀘어,영등포구,84.75,214000,2017.0
길훈,구로구,53.94,29000,1986.0
한보미도맨션1,강남구,128.01,388000,1983.0
하계1청구,노원구,84.6,91900,1997.0
금천롯데캐슬골드파크3차,금천구,84.408,128500,2018.0
청솔숲속마을102동,강서구,61.68,67000,2007.0
금호2,도봉구,84.46,56500,1991.0
현대5,광진구,74.88,205000,1989.0
보라매삼성,관악구,84.84,119000,1996.0
벽산베스트블루밍,구로구,114.611,109000,2010.0
삼성타운,은평구,59.4,65000,1997.0
백련산에스케이뷰아이파크,은평구,59.854,106000,2020.0
벽산블루밍3차,관악구,83.87,102300,2004.0
사당롯데캐슬골든포레,동작구,49.479,150000,2021.0
브라운스톤,광진구,58.24,70000,2006.0
"산장아파트가동,나동",성북구,71.5,45500,1977.0
미성,구로구,37.91,69000,1987.0
미성,은평구,63.53,53000,1987.0
상아,노원구,72.73,85000,1989.0
미성,노원구,33.28,55000,1986.0
새롬,양천구,84.83,52800,2002.0
목화,은평구,84.93,69500,2001.0
미륭,노원구,51.48,102000,1986.0
에덴,도봉구,67.404,38500,2001.0
신성,은평구,61.32,46300,1988.0
성락,구로구,57.33,39500,1988.0
신구로자이,구로구,84.94,84000,2007.0
신공덕래미안2차,마포구,84.73,168500,2000.0
에스케이북한산시티,강북구,84.92,84500,2004.0
신촌럭키,서대문구,59.7,128500,1999.0
석탑,중랑구,59.82,53000,1997.0
동부센트레빌,강서구,77.68,79700,2003.0
마젤란21,중랑구,84.741,74800,2007.0
동아,강서구,114.84,140000,1998.0
래미안월곡,성북구,84.589,114900,2006.0
동부골든,구로구,59.94,55100,1998.0
래미안위브,동대문구,59.99,162000,2014.0
마곡현대아파트,강서구,84.95,94000,1999.0
가양도시개발9-2단지,강서구,34.44,69500,1993.0
자양강변I-Park,광진구,84.95,219000,2006.0
인현상가/신성아파트,중구,77.98,75000,1968.0
은평자이더스타,은평구,49.999,71890,0.0
정릉중앙하이츠아파트,성북구,59.26,43500,1999.0
예성2차그린캐슬,관악구,84.17,97500,2004.0
우성1차,동작구,66.69,133000,1988.0
우장산롯데캐슬,강서구,177.86,150000,2003.0
중앙하이츠빌2단지,성북구,84.682,88000,2005.0
까치마을,강남구,34.44,148000,1993.0
논현파라곤,강남구,117.84,197000,2007.0
구로두산위브,구로구,36.88,56000,2006.0
구로두산,구로구,44.64,58000,1998.0
초안산신도브래뉴,도봉구,59.975,51000,2005.0
한신,도봉구,84.94,60000,1995.0
대우,성북구,84.83,64800,2001.0
남해그린힐,은평구,59.87,39500,2001.0
남서울힐스테이트,금천구,59.817,85950,2014.0
한신아파트,금천구,89.46,73000,1991.0
한마을,구로구,84.57,107000,1999.0
한마을,구로구,59.57,96000,1999.0
금천롯데캐슬골드파크3차,금천구,59.966,104900,2018.0
한가람,용산구,114.96,344000,1998.0
한신,도봉구,84.94,62000,1995.0
남서울힐스테이트,금천구,84.786,98500,2014.0
녹번역e편한세상캐슬,은평구,84.94,145000,2021.0
대교,영등포구,133.65,390000,1975.0
극동,구로구,58.22,45000,1984.0
한양2,도봉구,35.1,22500,1988.0
광나루현대,광진구,84.92,168000,1996.0
대교,영등포구,133.65,390000,1975.0
현대3차,영등포구,43.92,90000,1997.0
거성푸르뫼2,구로구,132.68,69500,1994.0
창신쌍용2,종로구,64.66,82000,1993.0
테라펠리체송파,송파구,29.107,62000,2021.0
초안1,노원구,59.85,39900,1998.0
관악산휴먼시아1단지,관악구,59.96,63000,2008.0
현대I-PARK,성동구,116.22,243000,2003.0
대림3,구로구,84.51,135700,2001.0
관악산벽산타운5,금천구,84.97,62200,2004.0
한화꿈에그린,노원구,84.902,85000,2005.0
현대이즈빌,관악구,79.65,76500,2002.0
대우,도봉구,84.88,73500,1995.0
경남1,구로구,59.98,52000,1998.0
한신,도봉구,84.94,61800,1995.0
한진한화그랑빌,노원구,59.94,95000,2002.0
강변,강서구,49.5,107000,1992.0
창동주공4단지,도봉구,41.3,44000,1991.0
건영3,노원구,84.9,119500,1995.0
트리마제,성동구,84.811,465000,2017.0
홍은센트레빌,서대문구,114.83,118000,2009.0
등촌퀸즈포디엄삼익,강서구,33.64,35800,2020.0
동아그린,용산구,48.76,142000,1999.0
목동센트럴아이파크위브2단지,양천구,84.97,130000,2020.0
두산위브트레지움,강북구,59.54,95500,2011.0
홍은미성,서대문구,65.43,48000,1985.0
목동신시가지13,양천구,70.73,222000,1987.0
두산,금천구,84.9,83500,1998.0
동익파크2동(355-98),은평구,84.95,46500,1991.0
동도센트리움,도봉구,79.389,70000,2009.0
동아청솔,도봉구,59.96,53500,1997.0
목동신시가지13,양천구,70.73,222000,1987.0
"등촌지와인아파트,비지니스센터",강서구,59.62,103000,2023.0
상계주공14(고층),노원구,45.55,48000,1989.0
상아2차아파트,송파구,84.98,193000,1988.0
보라매갑을,관악구,55.91,68000,2003.0
상계주공7(고층),노원구,49.94,75000,1988.0
서울숲삼부아파트,성동구,122.01,243000,1998.0
시범,영등포구,79.24,290000,1971.0
약수하이츠,중구,65.37,150000,1999.0
신성미소지움,구로구,84.23,66500,2003.0
신창,도봉구,39.6,28000,1998.0
신내,중랑구,49.77,62000,1996.0
순복음(초원),영등포구,66.94,105000,1971.0
신동아파밀리에,성북구,84.92,90500,2011.0
신동아아파트1,도봉구,53.16,37650,1986.0
신현대11차,강남구,183.41,1050000,1983.0
신대방경남,동작구,137.15,94000,2003.0
신월2차보람쉬움,양천구,82.51,67500,2005.0
신트리4,양천구,49.5,74000,2000.0
정릉힐스테이트,성북구,84.92,95000,2004.0
가양2단지(성지),강서구,34.44,73800,1992.0
유원하나,서대문구,72.34,63000,1996.0
가양2단지(성지),강서구,39.6,84500,1992.0
위례24단지(꿈에그린),송파구,51.78,164000,2013.0
주공2,노원구,44.52,38000,1992.0
주공2,노원구,44.52,41000,1992.0
우성,노원구,127.22,143500,1988.0
정릉풍림아이원,성북구,84.09,67000,2005.0
중앙하이츠,양천구,134.98,140000,2010.0
우성1,영등포구,49.64,117000,1986.0
정릉푸른마을동아,성북구,59.94,72800,2003.0
유원하나,서대문구,103.11,73000,1996.0
삼우장미,서대문구,41.75,33000,2009.0
상계주공9(고층),노원구,79.07,82700,1988.0
상도2차갑을명가,동작구,84.33,84000,2006.0
